,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,tran_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,dt_obj,pl_T,pl_rprs2,scale,TSM,efficiency
655,KOI-142 b,KOI-142,1,1,3,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,10.91647,0.00014,-0.00014,0.0,0.098,,,0.0,3.438,0.075,-0.075,0.0,0.307,0.006999999999999999,-0.006999999999999999,0.0,9.5,1.1,-1.1,0.0,0.03,0.0036,-0.0036,0.0,Mass,0.05561,0.00013000000000000002,-0.00013000000000000002,0.0,68.56,1.42,-1.39,0.0,758.0,,,0.0,90.97,0.12,-0.12,0.0,1,3.7285,0.0646,-0.0646,0.0,15.95,7.0,-7.0,0.0,0.03515,0.00018,-0.00018,0.0,,,,,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,,5466.0,60.0,-60.0,0.0,0.9,0.02,-0.02,0.0,0.99,0.02,-0.02,0.0,0.27,0.06,-0.06,0.0,[Fe/H],4.45,0.09,-0.09,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.669413,376.863,2.01,-1.991,13.209,0.126,-0.126,11.882,0.02,-0.02,11.517,0.019,-0.019,11.454,0.019,-0.019,13.1048,0.000275,-0.000275,2020-05-28,2020-05,2020-06-04,2020-05-01,733.7665041224221,0.0012355225000000001,1.28,21.002071688928623,1.0
656,KOI-142 c,KOI-142,1,1,3,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,22.26492,0.00067,-0.00067,0.0,0.15525,,,0.0,,,,,,,,,214.1,5.2,-5.2,0.0,0.674,0.016,-0.016,0.0,Mass,0.05724,0.00045,-0.00045,0.0,,,,,,,,,93.15,0.68,-0.68,0.0,0,,,,,,,,,,,,,,,,,<a refstr=WEISS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..242W/abstract target=ref>Weiss et al. 2020</a>,,5466.0,60.0,-60.0,0.0,0.9,0.02,-0.02,0.0,0.99,0.02,-0.02,0.0,0.27,0.06,-0.06,0.0,[Fe/H],4.53,0.03,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h24m35.54s,291.1481028,+40d40m09.89s,40.669413,376.863,2.01,-1.991,13.209,0.126,-0.126,11.882,0.02,-0.02,11.517,0.019,-0.019,11.454,0.019,-0.019,13.1048,0.000275,-0.000275,2020-05-28,2020-05,2020-06-04,2020-05-01,634.6595944353934,,0.0,,1.0
657,KOI-1599.01,KOI-1599,1,1,2,Transit,2019,Kepler,1,Published Confirmed,0,<a refstr=PANICHI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.4601P/abstract target=ref>Panichi et al. 2019</a>,20.4415,0.0013,-0.0013,0.0,0.14728,,,0.0,1.9,0.3,-0.3,0.0,0.17,0.027000000000000003,-0.027000000000000003,0.0,4.6,0.3,-0.3,0.0,0.014469999999999998,0.0009400000000000001,-0.0009400000000000001,0.0,Mass,0.014,,,0.0,44.8,39.4,-13.58,0.0,660.0,,,0.0,89.78,0.16,-0.16,0.0,1,8.839,0.492,-0.492,0.0,32.63,0.42,-0.42,0.0,0.018,0.0004,-0.0004,0.0,,,,,<a refstr=PANICHI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.4601P/abstract target=ref>Panichi et al. 2019</a>,,5833.0,122.0,-122.0,0.0,0.97,0.29,-0.1,0.0,1.02,0.12,-0.13,0.0,0.06,0.25,-0.3,0.0,[Fe/H],4.32,0.05,-0.21,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h53m29.72s,298.3738383,+40d37m06.41s,40.6184483,1131.64,28.17,-26.86,14.795,0.126,-0.126,13.631,0.03,-0.03,13.266,0.036,-0.036,13.238,0.031,-0.031,14.854,0.000328,-0.000328,2019-05-20,2019-06,2019-05-23,2019-06-01,659.7200510845688,0.00032399999999999996,1.26,2.486178846812893,1.0
658,KOI-1599.02,KOI-1599,1,1,2,Transit,2019,Kepler,1,Published Confirmed,0,<a refstr=PANICHI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.4601P/abstract target=ref>Panichi et al. 2019</a>,13.6088,0.0006,-0.0006,0.0,0.112293,,,0.0,1.9,0.2,-0.2,0.0,0.17,0.018000000000000002,-0.018000000000000002,0.0,9.0,0.3,-0.3,0.0,0.028319999999999998,0.0009400000000000001,-0.0009400000000000001,0.0,Mass,0.0114,,,0.0,76.81,67.54,-23.28,0.0,755.0,,,0.0,88.6,0.06,-0.06,0.0,1,5.175,0.339,-0.339,0.0,24.89,0.11,-0.11,0.0,0.0181,0.0003,-0.0003,0.0,,,,,<a refstr=PANICHI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.485.4601P/abstract target=ref>Panichi et al. 2019</a>,,5833.0,122.0,-122.0,0.0,0.97,0.29,-0.1,0.0,1.02,0.12,-0.13,0.0,0.06,0.25,-0.3,0.0,[Fe/H],4.32,0.05,-0.21,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h53m29.72s,298.3738383,+40d37m06.41s,40.6184483,1131.64,28.17,-26.86,14.795,0.126,-0.126,13.631,0.03,-0.03,13.266,0.036,-0.036,13.238,0.031,-0.031,14.854,0.000328,-0.000328,2019-05-20,2019-06,2019-05-23,2019-06-01,754.9090324442334,0.00032761000000000004,1.26,1.4702621146136534,1.0
659,KOI-1783.01,KOI-1783,1,1,2,Transit,2020,Kepler,1,Published Confirmed,0,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,134.4628,0.0033,-0.0035,0.0,0.5135,,,0.0,8.86,0.25,-0.24,0.0,0.79,0.022000000000000002,-0.021,0.0,71.0,11.2,-9.2,0.0,0.22339,0.03524,-0.02895,0.0,Mass,0.0,,,0.0,5.7,0.27,-0.27,0.0,412.0,,,0.0,89.441,0.008,-0.008,0.0,1,5.874,0.039,-0.04,0.0,94.8,1.1,-1.1,0.0,0.07102,0.00061,-0.00045,0.0,,,,,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,,5922.0,60.0,-60.0,0.0,1.14,0.03,-0.03,0.0,1.08,0.04,-0.03,0.0,0.11,0.04,-0.04,0.0,[Fe/H],4.3,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m21.95s,289.34146289999995,+46d59m17.36s,46.988155,865.73,13.734,-13.32,13.978,0.08,-0.08,12.917,0.022,-0.022,12.654,0.017,-0.017,12.621,0.02,-0.02,13.9061,0.00024700000000000004,-0.00024700000000000004,2020-05-01,2020-03,2020-05-07,2020-03-01,394.0114969185604,0.0050438404,1.15,8.8553310640557,1.0
660,KOI-1783.02,KOI-1783,1,1,2,Transit,2020,Kepler,1,Published Confirmed,0,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,284.215,0.026,-0.021,0.0,0.8453,,,0.0,5.44,0.52,-0.3,0.0,0.485,0.046,-0.027000000000000003,0.0,15.0,4.3,-3.6,0.0,0.0472,0.01353,-0.01133,0.0,Mass,0.0,,,0.0,2.49,0.35,-0.35,0.0,321.0,,,0.0,89.65,,,0.0,1,8.297,0.55,-0.55,0.0,143.36,9.5,-9.5,0.0,0.04359,0.00396,-0.00215,0.0,,,,,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,,5922.0,60.0,-60.0,0.0,1.14,0.03,-0.03,0.0,1.08,0.04,-0.03,0.0,0.11,0.04,-0.04,0.0,[Fe/H],4.3,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m21.95s,289.34146289999995,+46d59m17.36s,46.988155,865.73,13.734,-13.32,13.978,0.08,-0.08,12.917,0.022,-0.022,12.654,0.017,-0.017,12.621,0.02,-0.02,13.9061,0.00024700000000000004,-0.00024700000000000004,2020-05-04,2020-03,2020-05-07,2020-03-01,320.3243969509377,0.0019000880999999997,1.15,7.881894086951016,1.0
661,KOI-217 b,KOI-217,0,1,1,Transit,2010,Kepler,1,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,3.9050824,1.2e-07,-1.2e-07,0.0,0.0485,0.0007,-0.0007,0.0,12.505,0.623,-0.58,0.0,1.1159999999999999,0.055999999999999994,-0.052000000000000005,0.0,,,,,,,,,,0.0,,,0.0,272.03,14.71,-13.82,0.0,1046.0,,,0.0,89.37,0.2,-0.4,0.0,1,2.8213,0.00486,-0.00486,0.0,11.907,0.308,-0.308,0.0,0.13191,0.00088,-0.00022999999999999998,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5381.0,25.0,-25.0,0.0,0.95,0.04,-0.04,0.0,0.93,0.03,-0.07,0.0,0.11,0.1,-0.1,0.0,[M/H],4.45,0.02,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h39m27.71s,294.8654667,+46d17m08.93s,46.285812799999995,914.699,17.1675,-17.1675,15.257,0.069,-0.069,13.927,0.027,-0.027,13.55,0.023,-0.023,13.469,0.04,-0.04,15.1013,0.000482,-0.000482,2019-04-16,2019-03,2019-04-18,2019-03-01,1035.6055776157448,0.0174002481,1.15,,1.0
662,KOI-351 b,KOI-351,0,1,8,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,7.00823498,5.849e-05,-5.849e-05,0.0,0.0738,0.016,-0.016,0.0,1.3019999999999998,0.084,-0.07,0.0,0.11599999999999999,0.006999999999999999,-0.006,0.0,,,,,,,,,,0.0,,,0.0,316.44,10.79,-10.41,0.0,1062.0,,,0.0,89.36,1.5,-1.5,0.0,0,3.812,0.181,-0.181,0.0,14.03,1.0,-1.0,0.0,0.00985,0.00045999999999999996,-0.00033,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6031.13,34.68,-34.68,0.0,1.25,0.05,-0.05,0.0,1.12,0.09,-0.08,0.0,0.083,0.033,-0.033,0.0,[M/H],4.3,0.11,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.254,10.8185,-10.8185,13.883,0.069,-0.069,12.79,0.029,-0.029,12.531,0.033,-0.033,12.482,0.024,-0.024,13.7397,0.000217,-0.000217,2019-04-16,2019-03,2019-04-18,2019-03-01,1075.5064626870223,9.702249999999999e-05,0.19,,1.0
663,KOI-351 c,KOI-351,0,1,8,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,8.71975915,7.969e-05,-7.969e-05,0.0,0.0854,0.012,-0.012,0.0,1.544,0.079,-0.09,0.0,0.138,0.006999999999999999,-0.008,0.0,,,,,,,,,,0.0,,,0.0,236.31,8.06,-7.77,0.0,987.0,,,0.0,88.84,0.74,-0.74,0.0,0,3.7454,0.074,-0.074,0.0,16.94,4.9,-4.9,0.0,0.01168,0.0003,-0.00047000000000000004,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6031.13,34.68,-34.68,0.0,1.25,0.05,-0.05,0.0,1.12,0.09,-0.08,0.0,0.083,0.033,-0.033,0.0,[M/H],4.3,0.11,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.254,10.8185,-10.8185,13.883,0.069,-0.069,12.79,0.029,-0.029,12.531,0.033,-0.033,12.482,0.024,-0.024,13.7397,0.000217,-0.000217,2019-04-16,2019-03,2019-04-18,2019-03-01,999.7944129080479,0.00013642239999999998,1.26,,1.0
664,KOI-351 d,KOI-351,0,1,8,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,59.7367919,0.00032196,-0.00032196,0.0,0.308,0.05,-0.05,0.0,2.866,0.151,-0.127,0.0,0.256,0.013000000000000001,-0.011000000000000001,0.0,,,,,,,,,,0.0,,,0.0,18.17,0.62,-0.6,0.0,520.0,,,0.0,89.99,0.29,-0.29,0.0,0,8.0006,0.0951,-0.0951,0.0,58.2791,0.0422,-0.0422,0.0,0.02168,0.00061,-0.0003,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6031.13,34.68,-34.68,0.0,1.25,0.05,-0.05,0.0,1.12,0.09,-0.08,0.0,0.083,0.033,-0.033,0.0,[M/H],4.3,0.11,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.254,10.8185,-10.8185,13.883,0.069,-0.069,12.79,0.029,-0.029,12.531,0.033,-0.033,12.482,0.024,-0.024,13.7397,0.000217,-0.000217,2019-04-16,2019-03,2019-04-18,2019-03-01,526.4764050028665,0.00047002240000000004,1.28,,1.0
665,KOI-351 e,KOI-351,0,1,8,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,91.93984249,0.00047926,-0.00047926,0.0,0.4105,0.06,-0.06,0.0,2.6460000000000004,0.145,-0.121,0.0,0.23600000000000002,0.013000000000000001,-0.011000000000000001,0.0,,,,,,,,,,0.0,,,0.0,10.23,0.35,-0.34,0.0,450.0,,,0.0,89.98,0.19,-0.19,0.0,0,9.195,0.138,-0.138,0.0,77.89,1.7,-1.7,0.0,0.02002,0.00064,-0.00037,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6031.13,34.68,-34.68,0.0,1.25,0.05,-0.05,0.0,1.12,0.09,-0.08,0.0,0.083,0.033,-0.033,0.0,[M/H],4.3,0.11,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.254,10.8185,-10.8185,13.883,0.069,-0.069,12.79,0.029,-0.029,12.531,0.033,-0.033,12.482,0.024,-0.024,13.7397,0.000217,-0.000217,2019-04-16,2019-03,2019-04-18,2019-03-01,456.046459936169,0.00040080039999999996,1.26,,1.0
666,KOI-351 f,KOI-351,0,1,8,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,124.91349729,0.00037797,-0.00037797,0.0,0.5036,0.09,-0.09,0.0,3.4019999999999997,0.501,-0.745,0.0,0.304,0.045,-0.066,0.0,,,,,,,,,,0.0,,,0.0,6.8,0.23,-0.22,0.0,407.0,,,0.0,88.33,0.31,-0.31,0.0,0,11.942,0.451,-0.451,0.0,32.3,16.0,-16.0,0.0,0.02574,0.00361,-0.005529999999999999,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6031.13,34.68,-34.68,0.0,1.25,0.05,-0.05,0.0,1.12,0.09,-0.08,0.0,0.083,0.033,-0.033,0.0,[M/H],4.3,0.11,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.254,10.8185,-10.8185,13.883,0.069,-0.069,12.79,0.029,-0.029,12.531,0.033,-0.033,12.482,0.024,-0.024,13.7397,0.000217,-0.000217,2019-04-16,2019-03,2019-04-18,2019-03-01,411.782047398039,0.0006625476,1.28,,1.0
667,KOI-351 g,KOI-351,0,1,8,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,210.59334066,0.00018129,-0.00018129,0.0,0.7133,0.08,-0.08,0.0,7.766,0.34700000000000003,-0.327,0.0,0.693,0.031,-0.028999999999999998,0.0,254.264,,,1.0,0.8,,,1.0,Mass,0.0,,,0.0,3.39,0.12,-0.11,0.0,342.0,,,0.0,90.0,0.06,-0.06,0.0,0,11.9922,0.0347,-0.0347,0.0,142.042,0.743,-0.743,0.0,0.05875,0.00028,-0.00014,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6031.13,34.68,-34.68,0.0,1.25,0.05,-0.05,0.0,1.12,0.09,-0.08,0.0,0.083,0.033,-0.033,0.0,[M/H],4.3,0.11,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.254,10.8185,-10.8185,13.883,0.069,-0.069,12.79,0.029,-0.029,12.531,0.033,-0.033,12.482,0.024,-0.024,13.7397,0.000217,-0.000217,2019-04-16,2019-03,2019-04-18,2019-03-01,346.01115883521965,0.0034515624999999998,1.15,1.3809487365469206,1.0
668,KOI-351 h,KOI-351,0,1,8,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,331.5972732,0.0002459,-0.0002459,0.0,0.9654,0.11,-0.11,0.0,10.987,0.49,-0.462,0.0,0.98,0.044000000000000004,-0.040999999999999995,0.0,381.396,,,1.0,1.2,,,1.0,Mass,0.0,,,0.0,1.85,0.06,-0.06,0.0,294.0,,,0.0,89.99,1.3,-1.3,0.0,0,14.404,0.0319,-0.0319,0.0,190.456,0.45,-0.45,0.0,0.08311,0.0003,-0.00011999999999999999,0.0,,,,,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,,6015.0,120.0,-120.0,0.0,1.21,0.05,-0.05,0.0,1.12,0.09,-0.08,0.0,0.083,0.033,-0.033,0.0,[M/H],4.3,0.11,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h57m44.03s,284.4334642,+49d18m18.45s,49.3051239,848.254,10.8185,-10.8185,13.883,0.069,-0.069,12.79,0.029,-0.029,12.531,0.033,-0.033,12.482,0.024,-0.024,13.7397,0.000217,-0.000217,2018-09-04,2018-10,2018-09-06,2018-10-01,297.394623325729,0.0069072721,1.15,2.2402777551490383,1.0
669,KOI-3680 b,KOI-3680,1,1,1,Transit,2018,Kepler,1,Published Confirmed,0,<a refstr=H_EACUTE_BRARD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.104H/abstract target=ref>H&eacute;brard et al. 2019</a>,141.241671,8.6e-05,-8.6e-05,0.0,0.534,0.012,-0.03,0.0,11.097000000000001,0.6729999999999999,-0.785,0.0,0.99,0.06,-0.07,0.0,613.4119,60.3877,-66.7443,0.0,1.93,0.19,-0.21,0.0,Mass,0.496,0.031,-0.031,0.0,3.62,1.48,-0.95,0.0,347.0,12.0,-12.0,0.0,89.89200000000001,0.069,-0.086,0.0,0,6.7368,0.0288,-0.0288,0.0,125.7,8.4,-8.4,0.0,0.10645999999999999,0.00079,-0.00059,0.0,,,,,<a refstr=H_EACUTE_BRARD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.104H/abstract target=ref>H&eacute;brard et al. 2019</a>,,5830.0,100.0,-100.0,0.0,0.96,0.05,-0.06,0.0,1.01,0.07,-0.16,0.0,0.16,0.07,-0.07,0.0,[Fe/H],4.47,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h33m07.57s,293.2815266,+45d18m34.77s,45.309657200000004,921.986,23.3845,-23.3845,14.616,0.103,-0.103,13.384,0.021,-0.021,13.041,0.027,-0.027,13.101,0.039,-0.039,14.5027,0.000281,-0.000281,2018-12-03,2019-03,2018-12-06,2019-03-01,351.73640710315874,0.011333731599999997,1.15,2.0768390196213424,1.0
670,KOI-94 b,KOI-94,0,2,4,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,3.74312602,7.13e-06,-7.13e-06,0.0,0.0488,0.00067,-0.00067,0.0,1.557,0.099,-0.07200000000000001,0.0,0.139,0.009000000000000001,-0.006,0.0,10.5,4.6,-4.6,0.0,0.033,0.014,-0.014,0.0,Mass,0.0,0.17,-0.17,0.0,1053.18,29.88,-28.97,0.0,1423.0,,,0.0,89.94,0.57,-0.57,0.0,0,3.6888,0.0421,-0.0421,0.0,7.854,0.178,-0.178,0.0,0.01031,0.00047999999999999996,-0.00022,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6184.0,102.4,-156.59,0.0,1.43,0.08,-0.1,0.0,1.18,0.2,-0.13,0.0,0.11,0.07,-0.07,0.0,[M/H],4.2,0.08,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m19.94s,297.3330716,+41d53m28.03s,41.8911186,477.052,5.0,-4.899,12.314,0.046,-0.046,11.218,0.022,-0.022,10.957,0.018,-0.018,10.926,0.019,-0.019,12.1882,0.000154,-0.000154,2019-04-16,2019-03,2019-04-18,2019-03-01,1452.666198539168,0.0001062961,1.26,1.9589095293193644,1.0
671,KOI-94 c,KOI-94,0,2,4,Transit,2013,Kepler,1,Published Confirmed,0,<a refstr=GAJDO_SCARON__ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RAA....19...41G/abstract target=ref>Gajdo&scaron; et al. 2019</a>,10.42363688,4.17e-06,-4.17e-06,0.0,0.0967,0.0013,-0.0013,0.0,3.861,0.174,-0.159,0.0,0.344,0.016,-0.013999999999999999,0.0,7.8,3.0,-2.4,0.0,0.02454,0.00944,-0.00755,0.0,Mass,0.0,0.23,-0.23,0.0,268.22,7.61,-7.38,0.0,1012.0,,,0.0,89.98,0.75,-0.75,0.0,1,5.2257,0.021,-0.021,0.0,15.639,0.22,-0.22,0.0,0.02556,0.0003,-5e-05,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6184.0,102.4,-156.59,0.0,1.43,0.08,-0.1,0.0,1.18,0.2,-0.13,0.0,0.11,0.07,-0.07,0.0,[M/H],4.2,0.08,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m19.94s,297.3330716,+41d53m28.03s,41.8911186,477.052,5.0,-4.899,12.314,0.046,-0.046,11.218,0.022,-0.022,10.957,0.018,-0.018,10.926,0.019,-0.019,12.1882,0.000154,-0.000154,2019-04-16,2019-03,2019-04-18,2019-03-01,1031.96025218909,0.0006533136,1.28,29.00422035982006,1.0
